Identyfikator publiczny,Nazwa,Rodzaj obiektu,Opis ogolny,Gmina,Powiat,Wojewodztwo,Szerokosc geograficzna,Dlugosc geograficzna,Adres,Dostepnosc
OZO-D80432C6A459,Miejsce ochronne,Obiekt ochrony ludności,,Lipno,pow. lipnowski,kujawsko-pomorskie,52.8518217798843,19.180906091789,"Osiedle Jagiellonów 2, Lipno",Na żądanie
OZO-6DE040B2B4F4,Miejsce ochronne,Obiekt ochrony ludności,,Gdynia,Gdynia,pomorskie,54.4639597041819,18.4851682111594,"ul. ks. Jana Pawła Siega 8, Gdynia",Całodobowa
OZO-C1D8DE218E17,Miejsce ochronne,Obiekt ochrony ludności,,Olsztyn,Olsztyn,warmińsko-mazurskie,53.7974361231346,20.5011203605682,"ul. Borowa 4, Olsztyn",Na żądanie
OZO-0B44DE5CE20E,Miejsce ochronne,Obiekt ochrony ludności,,Gdynia,Gdynia,pomorskie,54.46512426893346,18.458243608474735,"ul. Rdestowa 122, Gdynia",Całodobowa
OZO-8EA879BF1C63,Miejsce ochronne,Obiekt ochrony ludności,,Nieznana,Warszawa,mazowieckie,52.2067541143416,20.9975338077545,"ulica Biały Kamień 8D, Mokotów",Na żądanie
OZO-7C9B8AA95695,Miejsce ochronne,Obiekt ochrony ludności,,Dąbie,pow. kolski,wielkopolskie,52.08741299938034,18.818953992265126,"ul. Maja 3 3C, Dąbie",Całodobowa
OZO-A93CF48E74F7,Miejsce ochronne,Obiekt ochrony ludności,,Gniezno,pow. gnieźnieński,wielkopolskie,52.5286917875881,17.5702013786403,"ul. Elizy Orzeszkowej 29C, Gniezno",Na żądanie
OZO-DEB0688202C5,Miejsce ochronne,Obiekt ochrony ludności,,Bartoszyce,pow. bartoszycki,warmińsko-mazurskie,54.180927631377216,20.963614583015445,"17, Łabędnik",Na żądanie
OZO-878625416690,Miejsce ochronne,Obiekt ochrony ludności,,Orneta,pow. lidzbarski,warmińsko-mazurskie,54.1152871408855,20.130405147683785,"ul. Plac Wolności 7, Orneta",Na żądanie
OZO-D732E6FDC65A,Miejsce ochronne,Obiekt ochrony ludności,,Bydgoszcz,Bydgoszcz,kujawsko-pomorskie,53.15470532026334,18.098182529211048,"ul. Ks. Zygmunta Trybowskiego 4, Bydgoszcz",Na żądanie
OZO-FC2EF620B7E0,Miejsce ochronne,Obiekt ochrony ludności,,Orneta,pow. lidzbarski,warmińsko-mazurskie,54.11540561210377,20.14402284695604,"ul. Przemysłowa 11, Orneta",Na żądanie
OZO-D581D6996E7A,Miejsce ochronne,Obiekt ochrony ludności,,Tłuchowo,pow. lipnowski,kujawsko-pomorskie,52.7464131527048,19.4681010998698,"ul. Spółdzielcza 6, Tłuchowo",Całodobowa
OZO-4B35E7F11D81,Miejsce ochronne,Obiekt ochrony ludności,,Gdynia,Gdynia,pomorskie,54.4998494559083,18.4328826004304,"ul. Władysława Grabowskiego 1, Gdynia",Całodobowa
OZO-3C892ED960F4,Miejsce ochronne,Obiekt ochrony ludności,,Orneta,pow. lidzbarski,warmińsko-mazurskie,54.11535788953502,20.13062240923817,"ul. Plac Wolności 7, Orneta",Na żądanie
OZO-504477261786,Miejsce ochronne,Obiekt ochrony ludności,,Olsztyn,Olsztyn,warmińsko-mazurskie,53.7376285702398,20.4896465858328,"ul. Pomorska 13, Olsztyn",Na żądanie
OZO-0FE5BCA73D20,Miejsce ochronne,Obiekt ochrony ludności,,Gdańsk,Gdańsk,pomorskie,54.3104460743567,18.609820604324344,"ul. Pastelowa 16, Gdańsk",Na żądanie
OZO-FA3B1E2B0004,Miejsce ochronne,Obiekt ochrony ludności,,Orneta,pow. lidzbarski,warmińsko-mazurskie,54.11533430666742,20.12981502627361,"ul. Kościelna 2, Orneta",Na żądanie
OZO-FFE7999D3346,Miejsce ochronne,Obiekt ochrony ludności,,Pruszków,pow. pruszkowski,mazowieckie,52.157927174839145,20.78726339718983,"ul. Dębowa 6A, Pruszków",Na żądanie
OZO-AF6C0EBBD210,Miejsce ochronne,Obiekt ochrony ludności,,Lubicz,pow. toruński,kujawsko-pomorskie,52.9645653036258,18.7217291624852,"22, Grabowiec",Na żądanie
OZO-68B11FCD8A51,Miejsce ochronne,Obiekt ochrony ludności,,Olsztyn,Olsztyn,warmińsko-mazurskie,53.7692627908065,20.4207572434507,"ul. Sielska 36C, Olsztyn",Na żądanie
OZO-7388240ADC0E,Miejsce ochronne,Obiekt ochrony ludności,,Gietrzwałd,pow. olsztyński,warmińsko-mazurskie,53.7288196699583,20.3057391475624,"85d, Unieszewo",Na żądanie
OZO-C28D2F6EC9A3,Miejsce ochronne,Obiekt ochrony ludności,,Płock,Płock,mazowieckie,52.552915855250276,19.678023755550388,"ul. Bartnicza 6, Płock",Całodobowa
OZO-D657EC624AAF,Miejsce ochronne,Obiekt ochrony ludności,,Orneta,pow. lidzbarski,warmińsko-mazurskie,54.139512483879,19.993395353097707,"12, Dąbrówka",Na żądanie
OZO-3DF8898FC162,Miejsce ochronne,Obiekt ochrony ludności,,Żychlin,pow. kutnowski,łódzkie,52.2414565535538,19.6328078526123,"ul. Łąkowa 13, Żychlin",Całodobowa
OZO-F3CE4571FE71,Miejsce ochronne,Obiekt ochrony ludności,,Gdynia,Gdynia,pomorskie,54.522147345402246,18.539605736732486,"ul. Władysława IV 7-15, Gdynia",Całodobowa
OZO-1EDDDEEF73BC,Miejsce ochronne,Obiekt ochrony ludności,,Gdynia,Gdynia,pomorskie,54.4805305589843,18.5514881869409,"ul. Zwycięstwa 214, Gdynia",Całodobowa
OZO-141F1E4B1BCA,Miejsce ochronne,Obiekt ochrony ludności,,Turek,pow. turecki,wielkopolskie,52.0185345233262,18.4902733388408,"ul. Sportowa 9, Turek",Określone godziny
OZO-6F9F9D1F0714,Miejsce ochronne,Obiekt ochrony ludności,,Nowe,pow. świecki,kujawsko-pomorskie,53.660288381956335,18.72424364089966,"126, Bochlin",Na żądanie
